t,TSolarSeg,TSolarReturn,TAmbient,Radiation_Hor,dmSolar
214.86458,10.129880000000014,9.999990000000025,14.895320000000027,0.0,0.01
214.87500,10.122029999999995,9.999990000000025,14.600000000000023,0.0,0.01
214.88542,10.114280000000008,9.999990000000025,14.304680000000019,0.0,0.01
214.89583,10.106200000000001,9.999990000000025,13.999990000000025,0.0,0.01
214.90625,10.097920000000045,9.999990000000025,13.681510000000003,0.0,0.01
214.91667,10.089410000000044,9.999990000000025,13.354849999999999,0.0,0.01
214.92708,10.080990000000043,9.999990000000025,13.025779999999997,0.0,0.01
214.93750,10.07247000000001,9.999990000000025,12.70001000000002,0.0,0.01
214.94792,10.063900000000046,9.999990000000025,12.368740000000003,0.0,0.01
214.95833,10.055229999999995,9.999990000000025,12.038900000000012,0.0,0.01
214.96875,10.047330000000045,9.999990000000025,11.739590000000021,0.0,0.01
214.97917,10.043080000000032,9.999990000000025,11.499990000000025,0.0,0.01
214.98958,10.03884000000005,9.999990000000025,11.347500000000025,0.0,0.01
215.00000,10.03463000000005,9.999990000000025,11.260000000000048,0.0,0.01
215.01042,10.031300000000044,9.999990000000025,11.192499999999995,0.0,0.01
215.02083,10.028500000000008,9.999990000000025,11.100000000000023,0.0,0.01
215.03125,10.025689999999997,9.999990000000025,10.97314,0.0,0.01
215.03861,10.023650000000032,9.999990000000025,10.879140000000007,0.0,0.01
215.03861,10.023650000000032,9.999990000000025,10.879140000000007,0.0,0.01
215.04167,10.022580000000005,9.999990000000025,10.83999,0.0,0.01
215.05208,10.019190000000037,9.999990000000025,10.711880000000008,0.0,0.01
215.06250,10.016200000000026,9.999990000000025,10.600000000000023,0.0,0.01
215.07292,10.013940000000048,9.999990000000025,10.508600000000001,0.0,0.01
215.08333,10.011770000000013,9.999990000000025,10.431240000000003,0.0,0.01
215.09375,10.009850000000029,9.999990000000025,10.363280000000032,0.0,0.01
215.10417,10.008200000000045,9.999990000000025,10.300010000000043,0.0,0.01
215.11458,10.006590000000017,9.999990000000025,10.241780000000006,0.0,0.01
215.12500,10.005520000000047,9.999990000000025,10.19064000000003,0.0,0.01
215.13542,10.004480000000001,9.999990000000025,10.144130000000018,0.0,0.01
215.14583,10.00341000000003,9.999990000000025,10.100000000000023,0.0,0.01
215.15625,10.002370000000042,9.999990000000025,10.05898000000002,0.02202,0.01
215.16667,10.001950000000022,9.999990000000025,10.03439000000003,0.14205,0.01
215.17708,10.003350000000012,9.999990000000025,10.042570000000012,0.44105,0.01
215.18750,10.00833,9.999990000000025,10.100000000000023,1.0,0.01
215.19792,10.032219999999995,9.999990000000025,10.219230000000039,5.13774,0.01
215.20833,10.08465000000001,9.999990000000025,10.388760000000048,14.81806,0.01
